type,properties/name,properties/web_address,properties/image,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,National Technological University (Argentina),https://www.utn.edu.ar/es/,https://logo.clearbit.com/frba.utn.edu.ar?size=40,Point,-58.3727922,-34.6044892
Feature,Datahack Training SLU - Spain,https://www.datahack.es/,https://logo.clearbit.com/datahack.es?size=40,Point,2.1420179,41.3810863
Feature,University of La Laguna (ULL) (Universidad de La Laguna),https://www.ull.es/en/,https://logo.clearbit.com/etsii.ull.es?size=40,Point,-16.3126059,28.4852475
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,2.3526686,48.8491473
Feature,Datahack Training SLU - Spain,https://www.datahack.es/,https://logo.clearbit.com/datahack.es?size=40,Point,-3.6514684,40.4698405
Feature,Milwaukee School of Engineering,https://www.msoe.edu,https://logo.clearbit.com/msoe.edu?size=40,Point,-87.9082236,43.0420184
Feature,Robert Gordon University,https://www.rgu.ac.uk/,https://logo.clearbit.com/rgu.ac.uk?size=40,Point,-2.14507050280374,57.11834245
Feature,Macquarie University,https://www.mq.edu.au/,https://logo.clearbit.com/students.mq.edu.au?size=40,Point,151.1093158,-33.7783356
Feature,Universidad de Sevilla,http://www.us.es/,https://logo.clearbit.com/us.es?size=40,Point,-5.9910238446683,37.38181325
Feature,Università della Svizzera italiana,http://www.usi.ch,https://logo.clearbit.com/usi.ch?size=40,Point,8.95689525626629,46.0113806
Feature,Slovak University of Technology in Bratislava,https://www.stuba.sk/,https://logo.clearbit.com/stuba.sk?size=40,Point,17.1178635,48.1550345
Feature,School of Code,https://schoolofcode.co.uk/,https://logo.clearbit.com/schoolofcode.co.uk?size=40,Point,-1.8846395,52.4754328
Feature,Wake Technical Community College,https://www.waketech.edu/,https://logo.clearbit.com/my.waketech.edu?size=40,Point,-78.6500037,35.7269662
Feature,ds. Pierson College,https://www.pierson.nl/,https://logo.clearbit.com/pierson.nl?size=40,Point,5.31813918644524,51.6998928
Feature,Emory University,https://www.emory.edu/home/index.html,https://logo.clearbit.com/emory.edu?size=40,Point,-84.3277896062768,33.79586765
Feature,Texas State University,https://www.txstate.edu/,https://logo.clearbit.com/txstate.edu?size=40,Point,-97.9374025,29.8885533
Feature,Khon Kaen University,https://www.kku.ac.th/index.php?l=th&fs=y,https://logo.clearbit.com/kkumail.com?size=40,Point,102.82318565,16.47765545
Feature,KTH Royal Institute of Technology,https://www.kth.se/en,https://logo.clearbit.com/kth.se?size=40,Point,18.0707826,59.3498183
Feature,Bard College,http://www.bard.edu/,https://logo.clearbit.com/bard.edu?size=40,Point,-73.9107242211961,42.0225482
Feature,King Mongkut's University of Technology North Bangkok,https://www.kmutnb.ac.th,https://logo.clearbit.com/fitm.kmutnb.ac.th?size=40,Point,100.5145609,13.8194022
Feature,Letovo School,https://en.letovo.ru/,https://logo.clearbit.com/letovo.ru?size=40,Point,37.4227230926201,55.55725425
